word	concreteness	familiarity	imageability	age_of_acquisition	freq_zh	log_freq_zh	context_div_zh	freq_mn
运动服	NA	NA	NA	NA	167.0	17482.0	36.0	8
面高	NA	NA	NA	NA	NA	NA	NA	1
滑浪选手	NA	NA	NA	NA	NA	NA	NA	1
小腿	6.15	6.26087	5.75	7.142857142857143	146.0	16902.0	44.0	1
选手	5.55	5.62963	5.15	13.125	11125.0	35719.0	647.0	8
课桌	NA	6.481481	NA	7.428571428571429	39.0	11139.0	11.0	1
树丛	5.3	6.333333	5.45	NA	322.0	20334.0	88.0	1
包	NA	NA	NA	NA	11173.0	35738.0	1957.0	26
书台	NA	NA	NA	NA	NA	NA	NA	3
木头	5.95	6.32	6.0	6.944444444444445	1356.0	2658.0	289.0	8
生活必需品	NA	NA	NA	NA	NA	NA	NA	1
制服	5.7	6.214286	5.25	12.476190476190476	2611.0	29425.0	595.0	4
灯笼	6.05	5.884615	6.1	7.045454545454546	107.0	15563.0	24.0	1
塔楼	NA	4.3	NA	11.8	149.0	1699.0	24.0	6
天安门	NA	5.913043	NA	NA	9.0	4771.0	3.0	7
袜子	6.15	6.424451	6.3	7.285714285714286	1565.0	27202.0	342.0	1
婴儿	5.55	6.5	5.65	6.523809523809524	42.0	31489.0	759.0	41
办公室	NA	5.956522	NA	9.76923076923077	17534.0	37695.0	2515.0	1
打印机	NA	5.695652	NA	12.19047619047619	173.0	17634.0	37.0	1
壶	NA	NA	NA	NA	581.0	229.0	152.0	2
皮筏艇	NA	NA	NA	NA	NA	NA	NA	3
轨	NA	NA	NA	NA	265.0	19494.0	53.0	1
红色的	NA	NA	NA	NA	NA	NA	NA	2
写字台	NA	5.333333	NA	NA	45.0	11761.0	14.0	3
鲨鱼服装	NA	NA	NA	NA	NA	NA	NA	1
健身球	NA	4.928571	NA	14.636363636363637	3.0	0.0	1.0	1
接球手	NA	NA	NA	NA	NA	NA	NA	6
橱窗	5.95	6.5	5.75	11.3125	31.0	2017.0	68.0	2
男童	NA	5.25	NA	6.157894736842105	69.0	13617.0	17.0	1
鹭	NA	NA	NA	NA	6.0	1301.0	5.0	1
主持人	NA	5.47619	NA	11.222222222222221	141.0	26749.0	334.0	1
中年女人	NA	NA	NA	NA	NA	NA	NA	1
外层	NA	NA	NA	NA	78.0	1415.0	24.0	1
束带	5.6	NA	5.65	NA	NA	NA	NA	1
房顶	NA	6.529412	NA	NA	635.0	23284.0	147.0	8
打网球	NA	NA	NA	NA	NA	NA	NA	1
商人	5.35	6.041667	5.0	12.105263157894736	118.0	25977.0	310.0	1
地	NA	NA	NA	NA	53684.0	42555.0	4878.0	3
兰花	6.2	6.205882	5.5	9.619047619047619	408.0	21367.0	60.0	2
饮品	NA	6.5	NA	8.782608695652174	95.0	15051.0	31.0	1
台面	5.6	5.394737	5.2	11.666666666666666	143.0	16812.0	39.0	4
浴缸	5.55	5.894737	5.95	10.695652173913043	1252.0	26232.0	277.0	264
盘子	5.25	6.296296	5.55	7.25	1595.0	27284.0	364.0	46
生活用品	NA	NA	NA	NA	NA	NA	NA	1
嘴鹦鹉	NA	NA	NA	NA	NA	NA	NA	1
围裙	6.15	NA	6.0	NA	274.0	19638.0	68.0	12
鞋	NA	NA	NA	NA	6952.0	33677.0	1161.0	3
女郎	4.65	5.0	4.3	13.523809523809524	2194.0	28669.0	387.0	1
汽车桌椅	NA	NA	NA	NA	NA	NA	NA	1
厨房灶台	NA	NA	NA	NA	NA	NA	NA	1
合照	4.95	6.010204	4.85	8.307692307692308	3.0	0.0	1.0	2
批萨	NA	NA	NA	NA	NA	NA	NA	1
运输车	NA	NA	NA	NA	8.0	14314.0	21.0	1
上半身	NA	NA	NA	NA	NA	NA	NA	2
躯干	5.0	NA	4.45	NA	122.0	16128.0	37.0	3
火炉	5.05	6.371429	5.85	NA	206.0	18388.0	55.0	2
螃蟹	6.2	6.666667	6.0	7.25	608.0	23096.0	97.0	4
简餐	NA	NA	NA	NA	NA	NA	NA	2
清洁人员	NA	NA	NA	NA	NA	NA	NA	1
比赛	5.05	6.714286	5.2	9.055555555555555	31974.0	40304.0	1785.0	1
学士服	NA	NA	NA	NA	NA	NA	NA	4
屋子	5.2	6.607143	5.7	7.695652173913044	4775.0	32047.0	1080.0	30
围栏	NA	5.208333	NA	8.8	313.0	20212.0	76.0	5
松饼	NA	NA	NA	NA	NA	NA	NA	3
