word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
phone booth	4.89	NA	NA	2.0	NA	NA	NA	38
bank	4.78	6.25	6.086	2.0	84.98	3.637	1590.0	1
boater	4.33	NA	NA	NA	0.02	0.301	1.0	1
handle	4.57	5.576	5.265	2.0	108.41	3.7427	3272.0	2
pepperoni pizza	NA	NA	NA	NA	NA	NA	NA	1
horse race	4.62	NA	NA	NA	NA	NA	NA	1
defender	3.19	NA	NA	4.0	2.98	2.1847	111.0	3
television camera	NA	NA	NA	NA	NA	NA	NA	1
wheelchair	4.93	NA	NA	NA	6.2	2.5011	216.0	155
aeroponics	NA	NA	NA	NA	NA	NA	NA	1
bott	NA	NA	NA	NA	NA	NA	NA	1
coal car	NA	NA	NA	NA	NA	NA	NA	2
baby	5.0	5.929	6.593	2.0	509.37	4.4146	5088.0	558
chili dog	NA	NA	NA	NA	NA	NA	NA	13
town home	NA	NA	NA	NA	NA	NA	NA	2
carafe	4.6	NA	NA	12.0	0.1	0.7782	5.0	4
pajama	4.85	NA	NA	NA	1.27	1.8195	35.0	1
