word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
包子,NA,5.571 ,6.143 ,1.857 ,78,1415,11
货物,NA,4.000 ,5.350 ,2.286 ,706,23747,1
香蕉花,NA,NA,NA,NA,NA,NA,1
剪刀,1.457143,NA,NA,NA,116,25899,2
玻璃门,NA,NA,NA,NA,NA,NA,1
睡衣,1.416667,NA,NA,NA,1049,25465,25
滑雪客,NA,NA,NA,NA,NA,NA,1
柜,NA,NA,NA,NA,6,301,1
通心粉,NA,NA,NA,NA,334,20492,15
玻璃碗,NA,NA,NA,NA,NA,NA,2
刀子,NA,3.500 ,5.818 ,1.417 ,1046,25453,22
商店,1.615385,6.250 ,6.182 ,1.727 ,3649,30878,18
兰花,1.12,NA,NA,NA,408,21367,2
箱子,1.608696,3.600 ,6.091 ,1.214 ,4486,31775,7
给姿势,NA,NA,NA,NA,NA,NA,1
梨,NA,NA,NA,NA,498,22227,1
饭店,NA,4.417 ,6.364 ,1.692 ,1923,28096,23
算盘,1.805556,5.250 ,6.318 ,2.643 ,95,15051,1
警察车,NA,NA,NA,NA,NA,NA,1
母鸡,1.24,NA,NA,NA,182,17853,3
电话架,NA,NA,NA,NA,NA,NA,1
骷颅头,NA,NA,NA,NA,NA,NA,1
塑料船,NA,NA,NA,NA,NA,NA,1
水盆,NA,NA,NA,NA,NA,NA,1
炒牛肉,NA,NA,NA,NA,NA,NA,1
鼠标,NA,NA,NA,NA,51,12304,5
毕业服,NA,NA,NA,NA,NA,NA,1
狗雕塑,NA,NA,NA,NA,NA,NA,1
秃头男,NA,NA,NA,NA,NA,NA,1
乳羊,NA,NA,NA,NA,NA,NA,1
烧烤,1.896552,NA,NA,NA,859,24594,51
四轮车,NA,NA,NA,NA,NA,NA,1
塔,NA,NA,NA,NA,417,31458,23
下巴,NA,NA,NA,NA,1169,25933,3
洗脸盆,NA,NA,NA,NA,NA,NA,1
捕手,NA,NA,NA,NA,NA,NA,12
停车房,NA,NA,NA,NA,NA,NA,1
光头,1.269231,NA,NA,NA,447,21761,1
泰迪熊,NA,NA,NA,NA,NA,NA,4
座椅背,NA,NA,NA,NA,NA,NA,1
泰,NA,NA,NA,NA,2218,28716,2
划艇队,NA,NA,NA,NA,NA,NA,1
鸡排,NA,NA,NA,NA,NA,NA,6
背包,NA,NA,NA,NA,891,24757,6
橱窗,1.076923,NA,NA,NA,31,2017,2
圣诞,1.958333,NA,NA,NA,6179,33166,1
火腿,1.076923,NA,NA,NA,787,24216,1
生日女,NA,NA,NA,NA,NA,NA,1
狗脸,NA,NA,NA,NA,NA,NA,1
橡皮艇,NA,NA,NA,NA,39,11139,4
收,NA,NA,NA,NA,9649,35101,1
碗,NA,NA,NA,NA,2429,29112,156
打伞的女人,NA,NA,NA,NA,NA,NA,1
晚饭,1.826087,5.750 ,6.545 ,1.600 ,4808,32076,1
唱歌,1.730769,NA,NA,NA,4743,32017,1
包,NA,NA,NA,NA,11173,35738,26
衬衫,1.357143,6.000 ,6.429 ,2.800 ,2528,29284,123
大头菜,NA,NA,NA,NA,24,9031,1
董事会,NA,NA,NA,NA,1222,26128,1
开花的树,NA,NA,NA,NA,NA,NA,1
工作车,NA,NA,NA,NA,NA,NA,1
餐台,NA,NA,NA,NA,NA,NA,1
狗猫,NA,NA,NA,NA,NA,NA,2
面食,NA,NA,NA,NA,3,1,1
小孩,1.807692,NA,NA,NA,11503,35865,422
大钟,NA,NA,NA,NA,3,0,1
乒乓球台,NA,NA,NA,NA,9,4771,1
牌匾,1.423077,NA,NA,NA,3,0,1
标语,2.043478,4.083 ,5.591 ,2.071 ,376,21004,1
楼面,NA,NA,NA,NA,NA,NA,1
空缺,3.107143,NA,NA,NA,396,21239,1
男人与狗,NA,NA,NA,NA,NA,NA,1
女士们先生们,NA,NA,NA,NA,NA,NA,1
搞点,NA,NA,NA,NA,NA,NA,1
鹦鹉,1.222222,NA,NA,NA,379,21038,44
滤水壶,NA,NA,NA,NA,NA,NA,1
墨镜,NA,NA,NA,NA,325,20374,5
吹风机,NA,NA,NA,NA,137,16628,1
裙子,1.681818,5.300 ,5.318 ,1.867 ,3467,30656,240
服装,1.541667,5.417 ,6.227 ,1.786 ,2713,2959,8
商铺,NA,NA,NA,NA,3,1,1
糊糊,NA,NA,NA,NA,21,8451,1
篮球运动员,NA,NA,NA,NA,NA,NA,1
茶几,1.333333,NA,NA,NA,72,13802,13
饭馆,NA,NA,NA,NA,188,17993,2
踢足球踢足球,NA,NA,NA,NA,NA,NA,1
武士,2,NA,NA,NA,1443,26848,1
话,NA,NA,NA,NA,118939,4601,3
自拍照,NA,NA,NA,NA,NA,NA,1
有球拍的男孩,NA,NA,NA,NA,NA,NA,1
鱼,NA,NA,NA,NA,7548,34035,1
浴袍,NA,NA,NA,NA,NA,NA,44
胖子,2.038462,NA,NA,NA,20,28267,1
烧烤架,NA,NA,NA,NA,NA,NA,14
王球员,NA,NA,NA,NA,NA,NA,2
锅,NA,NA,NA,NA,1028,25378,1
鹿,NA,NA,NA,NA,1547,27152,7
桌布,1.130435,NA,NA,NA,134,16532,4
螃蟹,1.083333,NA,NA,NA,608,23096,4
夹心饼,NA,NA,NA,NA,NA,NA,1
观光车,NA,NA,NA,NA,NA,NA,1
公寓,NA,NA,NA,NA,8066,34323,1
快餐,1.516129,NA,NA,NA,376,21004,3
热狗肠,NA,NA,NA,NA,NA,NA,1
黑车,NA,NA,NA,NA,3,1,1
印第安帐篷,NA,NA,NA,NA,NA,NA,1
小宝宝,NA,NA,NA,NA,396,21239,1
公文包,NA,NA,NA,NA,471,21987,1
蓝色夹克,NA,NA,NA,NA,NA,NA,1
西斯武士,NA,NA,NA,NA,NA,NA,1
上一,NA,NA,NA,NA,NA,NA,1
童装,NA,NA,NA,NA,15,699,3
布料,1.774194,NA,NA,NA,265,19494,1
皮卡车,NA,NA,NA,NA,NA,NA,2
健身球,NA,NA,NA,NA,3,0,1
婚车,NA,NA,NA,NA,NA,NA,1
青柠檬,NA,NA,NA,NA,NA,NA,1
烤面包,NA,NA,NA,NA,NA,NA,1
主食,NA,NA,NA,NA,18,7782,1
面包类,NA,NA,NA,NA,NA,NA,1
德士,NA,NA,NA,NA,NA,NA,2
鸟的脚,NA,NA,NA,NA,NA,NA,1
短袖衫,NA,NA,NA,NA,NA,NA,2
猫食,NA,NA,NA,NA,NA,NA,1
朋友们,NA,NA,NA,NA,NA,NA,1
生病的女人,NA,NA,NA,NA,NA,NA,1
菜菜,NA,NA,NA,NA,NA,NA,1
凉棚,NA,NA,NA,NA,6,301,5
